ID,AvatarLevel,Gold,Gems,Purchases,TotalPlay,TotalWon,TotalLost,FirstInstallDate,VipLevel,LastSeenDate,Cards_collected,Card_score,Overall_progress,TotalStars
usr101105,92,19932372,77,"{'starter_2': 1, 'prog_s_2': 1, 'prog_15': 1, 'gem_3': 10, 'prog_20': 1, 'starter_1': 1, 'prog_25': 1, 'gem_4': 2, 'starter_3': 1, 'prog_32': 1, 'gem_2': 2, 'daily_8': 2, 'gem_1': 2, 'timed_n_3_3': 1, 'timed_n_3_4': 1, 'prog_42': 1, 'timed_n_3_5': 1, 'prog_45': 1, 'gem_5': 1, 'prog_50': 1, 'timed_k_2_2': 1, 'prog_52': 1, 'gem_sub_3': 1, 'clan_2': 4, 'timed_j_2_4': 1, 'timed_j_2_1': 1, 'prog_60': 1, 'prog_62': 1, 'prog_70': 1, 'timed_p_2_2': 1, 'prog_75': 1, 'gem_sub_1': 1}",11790,8026,413,2021-06-12 00:00:00+00:00,13,2024-03-30 19:41:31.243000+00:00,0.7107541245055549,1.375805138324488,0.6910063113093415,5181.0
usr101109,98,2518666,1687,{'gem_sub_1': 1},14145,11507,963,2022-07-31 00:00:00+00:00,1,2024-04-10 08:06:36.071000+00:00,0.6529310795347035,0.8062560332062868,0.5599005245897771,4135.0
usr101114,46,36951644,7437,{},2790,1884,56,2022-03-06 00:00:00+00:00,0,2024-04-11 09:03:03.714000+00:00,0.5583816890875178,0.32514401605050625,0.29021022550434317,1955.0
usr101122,151,103710168,12563,{'gem_sub_1': 25},34678,25250,1690,2018-08-28 07:40:43+00:00,7,2024-04-11 13:41:04.024000+00:00,0.9196982871250552,1.2910316144514624,0.8185542870346791,6292.0
usr101126,77,3259619,13493,{},8316,6759,295,2022-09-17 00:00:00+00:00,0,2024-04-11 13:57:59.289000+00:00,0.6356607918930527,1.0636941894003786,0.39729957816903116,2889.0
usr101140,55,30800,789,"{'starter_1': 1, 'gem_sub_1': 5, 'gem_1': 2, 'daily_10': 1, 'starter_2': 1, 'prog_32': 1, 'gem_2': 1, 'timed_g_3_2': 3, 'timed_b_2_10': 1, 'timed_b_2_9': 1, 'daily_6': 1, 'timed_c_5_2': 3, 'starter_3': 1, 'prog_40': 1, 'prog_47': 1, 'timed_q_5_4': 4}",3871,2726,178,2023-09-13 00:00:00+00:00,10,2024-04-11 12:54:27.601000+00:00,0.5530888364284019,0.40441598162681575,0.4837149270482603,3633.0
usr101145,84,42864704,3378,{'gem_2': 1},9973,7089,351,2021-08-12 00:00:00+00:00,1,2024-02-17 09:55:52.244000+00:00,0.6872891944411906,0.4675891502902847,0.5365486217524401,3869.0
usr101160,86,700328,15882,"{'gem_sub_1': 9, 'starter_1': 1, 'timed_h_2_1': 1}",10615,8503,135,2021-03-08 00:00:00+00:00,5,2024-04-11 19:34:25.355000+00:00,0.684322148437148,1.5043190999222102,0.4699866807701074,3251.0
usr101202,105,865129,7223,{},15858,10373,120,2018-06-05 12:38:55+00:00,0,2024-04-12 07:37:23.524000+00:00,0.787004165803171,0.9939310074515917,0.5939105339105339,4486.0
usr101206,125,171571,930,"{'starter_2': 1, 'gem_sub_1': 4, 'timed_f_5_1': 1}",25468,19121,1005,2018-01-13 17:22:44+00:00,4,2024-04-12 04:09:59.473000+00:00,0.844818575817918,1.874237801184766,0.46367658039418086,3199.0
usr101219,97,2876620,63526,"{'starter_1': 1, 'prog_s_1': 1, 'special_5': 1, 'special_4': 1, 'gem_sub_1': 1, 'daily_9': 2, 'prog_27': 1, 'timed_g_2_2': 1, 'timed_f_3_1': 1}",12388,8981,197,2021-10-01 00:00:00+00:00,3,2024-04-12 04:49:51.181000+00:00,0.7820409432075183,1.8106402682292684,0.3160981633054275,2414.0
usr101222,55,558582,2215,"{'gem_sub_1': 5, 'starter_1': 1}",3648,3096,54,,4,2024-04-11 20:09:35.256000+00:00,0.49590027301478606,0.48580057806651067,0.4170434503767837,3037.0
usr101227,87,152654,524,{},12498,10475,43,2023-02-04 00:00:00+00:00,0,2024-04-12 09:06:43.023000+00:00,0.5646855824765956,1.4465529105058132,0.2896589589272515,1906.0
usr101242,54,9543231,583,{},6190,2739,84,2022-04-26 00:00:00+00:00,0,2024-04-08 21:28:45.710000+00:00,0.5472459746087238,0.8288767599041695,0.37994227994227997,2779.0
usr101253,54,4412661,14258,{},3569,2999,314,2021-11-24 00:00:00+00:00,0,2024-03-01 18:47:11.106000+00:00,0.3966080390690466,0.5697447957494992,0.1330735930735931,664.0
usr101258,84,353770,1862,{},11079,7465,1726,2021-12-28 00:00:00+00:00,0,2024-04-11 09:27:48.036000+00:00,0.5498544822179974,0.9600828805612871,0.5583005224755583,4172.0
usr101260,101,87559,12740,{},15449,11419,1284,2021-11-12 00:00:00+00:00,0,2024-04-08 05:49:26.120000+00:00,0.6610974954122103,1.1682780545969504,0.5948000330579348,4492.0
usr101269,113,1810574,8379,"{'starter_2': 1, 'gem_sub_1': 1}",17153,12603,546,2022-03-21 00:00:00+00:00,3,2024-04-12 07:05:38.436000+00:00,0.7876724363190759,0.9309537797080033,0.8527396278376672,6622.0
usr101280,41,1831373,10452,{},2141,1549,263,2021-12-01 00:00:00+00:00,0,2024-03-16 16:20:26.847000+00:00,0.40843192200607303,0.3981261544560879,0.24892680304445017,1713.0
usr101295,39,902260,829,{},1827,1406,51,2020-09-30 00:00:00+00:00,0,2024-03-30 13:13:54.407000+00:00,0.42195801759428625,0.2201063225899462,0.1457142857142857,888.0
usr101296,126,3639845,517,{'gem_sub_1': 5},30252,26100,108,2021-12-15 00:00:00+00:00,4,2024-04-12 02:16:52.276000+00:00,0.6673702278727373,1.1074257418803881,0.21685803933481956,1366.0
usr101300,86,4567677,1876,{'gem_sub_1': 1},10589,7765,656,2022-01-05 00:00:00+00:00,1,2024-04-12 06:02:19.801000+00:00,0.589601185166497,1.1093049986634589,0.5877418844380636,4405.0
usr101303,42,119774,4054,{},2833,1442,83,2022-03-10 00:00:00+00:00,0,2024-02-23 17:06:05.058000+00:00,0.45340690315934273,0.7520612316000348,0.25139420439276966,1581.0
usr101311,100,1637347,22666,"{'clan_1': 1, 'gem_sub_1': 3}",15325,12364,76,2022-10-03 00:00:00+00:00,3,2024-04-12 08:27:04.238000+00:00,0.7275547456217019,0.9136487570168405,0.6056954196814249,4565.0
